Insurance Company,Plan Name,Coverage Amount (₹),Network Hospitals,Maternity & Newborn Coverage,No Claim Bonus (NCB) (%),Room Rent Limit (₹),Daycare Procedures Covered,Critical Illness Cover,Waiting Period (Years),Co-payment (%),Family Floater,Top-up/Super Top-up Plans,Annual Premium (₹),Claim Settlement Ratio (%),Cashless Claim Process (Ease Rating),Pre Hospitalization (Days),Post Hospitalization (Days)
PQR Insurance,Super Care,4000000,313,No,20,10000,No,No,1,20,Yes,Yes,23896,85,4,30,90
XYZ Insurance,Health Guard,4000000,313,No,10,8000,No,No,5,5,Yes,No,9787,96,4,45,90
HIJ Assurance,Health Plus,500000,908,Yes (After 4 Years),20,10000,No,No,3,10,No,Yes,14371,99,4,45,45
ABC Insurance,Health Plan A,2500000,150,Yes (After 3 Years),20,10000,Yes,No,2,0,Yes,No,21623,89,4,40,70
XYZ Insurance,Prime Coverage,1500000,863,No,0,15000,No,No,4,10,Yes,No,20658,85,3,30,90
UVW Health,Super Care,2000000,790,No,20,8000,No,Yes,3,5,No,No,19615,85,5,40,70
ABC Insurance,Secure Health,5000000,908,Yes (After 4 Years),0,8000,No,No,3,10,No,No,20658,99,4,30,90
KLM Insurance,Super Care,700000,280,Yes (After 3 Years),30,8000,No,No,5,20,No,No,9755,85,5,30,0
KLM Insurance,Health Guard,4000000,138,No,50,No Limit,No,No,3,20,Yes,Yes,21623,93,5,60,45
EFG Insurance,Super Care,5000000,313,No,50,10000,Yes,Yes,2,5,Yes,Yes,14371,85,4,60,60
PQR Insurance,Health Plan A,2000000,280,Yes (After 3 Years),0,15000,Yes,Yes,1,0,No,Yes,24500,85,3,40,0
OPQ Assurance,Wellness Shield,2000000,908,No,10,5000,No,No,2,20,No,No,23230,99,4,40,90
OPQ Assurance,Wellness Shield,1000000,280,Yes (After 3 Years),0,5000,Yes,Yes,4,0,Yes,Yes,19615,96,5,40,0
OPQ Assurance,Health Guard,500000,378,Yes (After 3 Years),30,15000,No,No,1,0,No,Yes,14371,99,4,20,60
XYZ Insurance,Super Care,4000000,908,No,0,8000,Yes,Yes,2,0,Yes,No,21623,86,4,40,0
EFG Insurance,Wellness Shield,3000000,378,Yes (After 4 Years),10,No Limit,Yes,No,5,0,No,Yes,9787,85,3,0,70
PQR Insurance,Family Protect,3000000,790,No,30,10000,No,No,1,0,No,Yes,21623,94,3,45,45
HIJ Assurance,Health Plus,2500000,138,Yes (After 4 Years),0,10000,Yes,Yes,5,5,No,Yes,9755,85,4,0,120
LMN Health,Secure Health,1500000,150,Yes (After 2 Years),10,10000,Yes,No,5,10,No,Yes,21623,99,5,20,70
RST Care,Secure Health,4000000,465,No,0,8000,Yes,Yes,2,5,No,No,24500,96,5,45,70
RST Care,Complete Care,5000000,313,No,10,5000,Yes,No,2,0,No,No,9787,93,5,20,45
RST Care,Secure Health,1000000,138,Yes (After 3 Years),20,10000,Yes,Yes,4,0,No,No,20658,93,5,0,45
PQR Insurance,Wellness Shield,5000000,863,No,30,15000,Yes,Yes,4,20,Yes,No,24500,85,4,0,70
HIJ Assurance,Family Protect,4000000,790,Yes (After 2 Years),0,15000,No,No,1,5,No,Yes,21623,89,4,60,0
PQR Insurance,Prime Coverage,1000000,465,Yes (After 4 Years),0,5000,No,Yes,1,10,Yes,No,19615,94,3,0,0
LMN Health,Super Care,2500000,908,Yes (After 4 Years),20,15000,Yes,No,1,20,No,Yes,23230,86,5,45,90
RST Care,Wellness Shield,3000000,280,Yes (After 4 Years),50,5000,No,Yes,2,10,No,Yes,9787,86,5,20,90
RST Care,Wellness Shield,5000000,465,No,10,15000,Yes,No,5,0,Yes,No,23230,85,3,40,60
KLM Insurance,Health Plus,2000000,790,Yes (After 4 Years),0,5000,Yes,Yes,1,5,Yes,Yes,20658,93,5,60,60
UVW Health,Complete Care,1500000,150,No,50,15000,Yes,No,5,0,Yes,Yes,9787,95,3,0,45
OPQ Assurance,Secure Health,3000000,863,Yes (After 2 Years),20,8000,Yes,Yes,5,20,No,Yes,23230,96,4,20,120
UVW Health,Wellness Shield,300000,378,Yes (After 2 Years),20,10000,No,Yes,4,10,No,Yes,9787,96,4,0,60
PQR Insurance,Prime Coverage,5000000,378,Yes (After 4 Years),50,8000,Yes,Yes,5,20,Yes,No,9755,96,4,20,120
EFG Insurance,Health Plan A,5000000,465,No,30,No Limit,No,Yes,5,0,No,Yes,23230,94,3,45,90
PQR Insurance,Complete Care,700000,150,No,0,15000,Yes,No,4,0,Yes,No,24500,96,5,20,90
XYZ Insurance,Health Plan A,2000000,280,Yes (After 3 Years),10,10000,No,No,4,20,No,No,9755,89,3,60,70
OPQ Assurance,Wellness Shield,2500000,908,No,10,8000,No,No,2,20,Yes,No,9755,85,5,45,0
EFG Insurance,Health Plan A,4000000,150,Yes (After 2 Years),10,8000,Yes,Yes,3,5,No,Yes,14371,85,5,0,90
LMN Health,Family Protect,1500000,378,Yes (After 3 Years),20,10000,No,No,3,5,No,Yes,23230,89,3,0,0
EFG Insurance,Health Plus,1500000,408,Yes (After 2 Years),50,5000,No,Yes,2,5,Yes,No,21623,85,4,40,60
UVW Health,Prime Coverage,1000000,378,No,10,No Limit,Yes,No,1,20,Yes,No,23230,85,5,30,45
OPQ Assurance,Secure Health,3000000,378,No,10,5000,No,No,3,20,Yes,Yes,23230,96,4,45,60
LMN Health,Wellness Shield,2000000,150,No,50,8000,Yes,Yes,1,5,Yes,No,24500,94,3,45,70
PQR Insurance,Super Care,4000000,863,Yes (After 2 Years),20,5000,No,No,4,10,Yes,Yes,21623,93,5,0,60
HIJ Assurance,Care Plus,2000000,138,No,10,10000,Yes,No,2,0,Yes,No,19615,85,5,20,120
PQR Insurance,Secure Health,2000000,150,No,10,8000,No,Yes,1,5,Yes,No,21623,96,5,30,120
UVW Health,Secure Health,1500000,408,No,30,8000,Yes,Yes,1,5,Yes,No,24500,89,4,30,120
PQR Insurance,Health Guard,1000000,280,Yes (After 3 Years),10,10000,Yes,Yes,5,5,No,No,14371,95,4,40,0
XYZ Insurance,Care Plus,300000,790,Yes (After 4 Years),50,10000,No,Yes,1,0,Yes,No,21623,96,5,45,45
ABC Insurance,Health Guard,500000,790,Yes (After 3 Years),20,15000,No,No,1,5,Yes,Yes,17780,96,5,20,0
PQR Insurance,Super Care,300000,408,Yes (After 2 Years),30,10000,No,Yes,3,0,Yes,Yes,14371,96,3,40,70
KLM Insurance,Prime Coverage,700000,280,Yes (After 3 Years),30,No Limit,Yes,Yes,5,10,No,Yes,9755,89,5,0,60
UVW Health,Complete Care,5000000,408,Yes (After 2 Years),30,5000,No,Yes,5,5,No,Yes,23230,93,5,40,90
XYZ Insurance,Family Protect,2000000,378,Yes (After 3 Years),30,15000,Yes,Yes,5,10,Yes,No,17780,89,4,45,45
ABC Insurance,Super Care,2000000,465,No,30,5000,No,No,1,5,No,Yes,17780,95,5,30,70
PQR Insurance,Family Protect,2500000,465,Yes (After 3 Years),10,5000,No,No,1,20,No,No,14371,86,5,0,120
XYZ Insurance,Secure Health,500000,790,Yes (After 4 Years),50,10000,No,Yes,4,0,Yes,Yes,9787,95,3,0,45
RST Care,Secure Health,3000000,790,No,20,No Limit,Yes,No,3,20,No,Yes,20658,96,5,60,45
LMN Health,Health Guard,300000,313,No,10,10000,Yes,Yes,3,0,Yes,No,14371,85,5,40,120
OPQ Assurance,Health Plus,700000,313,No,20,No Limit,No,No,4,20,Yes,Yes,19615,85,4,0,60
XYZ Insurance,Health Plus,1000000,280,No,20,15000,No,No,2,5,Yes,Yes,21623,95,5,20,90
HIJ Assurance,Super Care,700000,150,Yes (After 2 Years),50,5000,Yes,Yes,3,0,No,Yes,14371,96,3,0,60
RST Care,Health Plan A,1500000,790,No,0,5000,Yes,Yes,5,20,Yes,Yes,14371,95,5,45,70
ABC Insurance,Health Plus,700000,280,Yes (After 3 Years),20,15000,No,No,2,5,No,Yes,17780,93,4,45,0
OPQ Assurance,Health Plan A,2000000,378,No,50,5000,No,Yes,1,0,Yes,No,9787,85,5,40,60
RST Care,Secure Health,500000,908,Yes (After 3 Years),50,5000,Yes,Yes,2,0,Yes,No,23230,95,4,60,120
LMN Health,Health Plan A,500000,280,Yes (After 3 Years),20,8000,Yes,Yes,2,10,No,No,24500,93,5,30,70
HIJ Assurance,Secure Health,4000000,863,No,10,8000,No,Yes,4,0,Yes,Yes,19615,89,5,0,120
OPQ Assurance,Health Guard,3000000,150,Yes (After 2 Years),20,10000,Yes,Yes,1,5,No,Yes,9755,99,4,0,45
PQR Insurance,Wellness Shield,2500000,150,No,0,5000,Yes,Yes,3,10,No,Yes,19615,85,5,40,90
HIJ Assurance,Health Guard,1000000,908,Yes (After 4 Years),20,10000,Yes,Yes,4,20,No,Yes,23896,94,4,40,90
LMN Health,Prime Coverage,300000,150,No,0,8000,No,Yes,5,0,No,No,24500,85,4,0,60
KLM Insurance,Secure Health,1000000,138,No,50,8000,Yes,Yes,3,20,No,No,23896,95,5,60,0
OPQ Assurance,Health Plan A,4000000,378,Yes (After 2 Years),0,No Limit,Yes,Yes,2,5,No,No,9755,89,4,20,0
EFG Insurance,Wellness Shield,700000,908,No,0,5000,Yes,Yes,5,10,Yes,No,9787,86,4,20,70
ABC Insurance,Prime Coverage,2000000,790,Yes (After 3 Years),30,No Limit,Yes,Yes,2,10,No,No,20658,94,5,60,60
EFG Insurance,Complete Care,1500000,465,No,10,15000,Yes,No,5,0,Yes,Yes,23896,94,5,45,0
XYZ Insurance,Family Protect,1500000,408,Yes (After 2 Years),20,10000,Yes,No,1,0,Yes,No,9787,85,4,20,90
HIJ Assurance,Super Care,500000,280,No,10,8000,Yes,No,2,10,Yes,Yes,17780,96,5,60,70
KLM Insurance,Family Protect,700000,313,No,20,8000,No,Yes,4,20,Yes,Yes,9755,85,4,40,70
LMN Health,Prime Coverage,5000000,465,No,10,10000,No,Yes,3,20,Yes,No,9787,85,4,60,90
KLM Insurance,Prime Coverage,1000000,313,Yes (After 2 Years),50,5000,Yes,Yes,2,0,No,No,9787,86,3,0,45
KLM Insurance,Health Plan A,500000,313,Yes (After 3 Years),30,8000,Yes,Yes,5,10,No,Yes,9787,93,5,20,120
XYZ Insurance,Health Plan A,700000,313,No,30,10000,No,Yes,1,20,Yes,Yes,20658,96,5,30,70
ABC Insurance,Secure Health,1500000,280,Yes (After 2 Years),30,5000,No,No,3,0,Yes,No,9755,96,3,60,60
ABC Insurance,Wellness Shield,1000000,150,No,20,15000,No,No,5,0,No,No,17780,96,3,20,90
PQR Insurance,Secure Health,2500000,280,Yes (After 4 Years),20,15000,Yes,Yes,4,5,No,Yes,20658,85,4,60,45
XYZ Insurance,Wellness Shield,2000000,465,Yes (After 2 Years),50,5000,Yes,No,5,10,Yes,No,19615,96,5,20,45
ABC Insurance,Prime Coverage,300000,790,No,30,5000,No,No,1,5,No,No,24500,86,4,40,60
PQR Insurance,Care Plus,2000000,138,Yes (After 2 Years),30,8000,Yes,No,2,20,Yes,Yes,23230,99,5,0,45
HIJ Assurance,Wellness Shield,3000000,908,Yes (After 4 Years),20,5000,Yes,Yes,3,0,Yes,Yes,9755,96,5,45,70
PQR Insurance,Complete Care,2500000,465,No,30,15000,No,No,1,20,Yes,Yes,23896,94,3,30,45
ABC Insurance,Secure Health,1500000,408,Yes (After 4 Years),20,No Limit,Yes,No,5,5,Yes,No,20658,85,4,30,120
PQR Insurance,Health Plan A,300000,908,No,50,8000,No,Yes,2,0,Yes,Yes,24500,96,4,45,90
KLM Insurance,Secure Health,3000000,280,Yes (After 4 Years),50,No Limit,Yes,Yes,3,20,No,Yes,20658,96,3,40,120
LMN Health,Health Plan A,5000000,408,Yes (After 4 Years),20,10000,Yes,Yes,1,5,No,No,23230,89,4,45,0
PQR Insurance,Complete Care,1500000,150,Yes (After 2 Years),20,10000,No,No,3,10,Yes,No,9755,85,5,60,70
XYZ Insurance,Care Plus,2000000,138,No,0,5000,No,Yes,2,20,No,Yes,23896,85,4,30,60
KLM Insurance,Prime Coverage,4000000,378,No,30,5000,Yes,Yes,3,0,Yes,Yes,14371,94,4,60,70
EFG Insurance,Prime Coverage,1500000,465,No,30,15000,Yes,No,5,0,No,Yes,21623,89,4,0,70
XYZ Insurance,Health Plus,3000000,408,No,10,8000,Yes,Yes,4,0,No,Yes,14371,89,3,20,0
XYZ Insurance,Complete Care,5000000,138,Yes (After 2 Years),0,10000,Yes,No,1,0,Yes,No,24500,85,4,0,60
EFG Insurance,Prime Coverage,4000000,280,Yes (After 2 Years),30,No Limit,No,No,3,20,No,No,19615,85,3,60,45
PQR Insurance,Secure Health,3000000,465,No,0,No Limit,Yes,No,5,10,No,No,9755,93,3,45,60
ABC Insurance,Super Care,3000000,378,Yes (After 2 Years),0,8000,No,Yes,3,5,Yes,No,14371,96,4,0,0
OPQ Assurance,Family Protect,2500000,465,No,10,5000,Yes,No,1,10,No,No,21623,96,5,30,45
RST Care,Care Plus,5000000,408,Yes (After 3 Years),0,10000,No,Yes,1,0,No,Yes,24500,94,5,20,45
RST Care,Wellness Shield,4000000,378,No,10,10000,Yes,Yes,1,20,No,No,17780,89,3,30,120
UVW Health,Wellness Shield,1000000,313,No,50,10000,Yes,Yes,2,0,No,Yes,19615,99,5,30,45
EFG Insurance,Prime Coverage,4000000,313,Yes (After 2 Years),50,15000,No,No,1,20,No,No,20658,93,3,0,90
LMN Health,Secure Health,2000000,790,No,50,15000,Yes,Yes,5,20,No,Yes,23896,93,5,20,120
KLM Insurance,Family Protect,3000000,378,Yes (After 3 Years),20,No Limit,Yes,Yes,1,0,No,No,21623,94,3,45,70
LMN Health,Family Protect,300000,378,Yes (After 4 Years),30,5000,Yes,No,4,5,No,Yes,9755,96,5,0,0
UVW Health,Wellness Shield,4000000,465,Yes (After 2 Years),30,5000,No,Yes,2,0,Yes,No,9755,89,4,60,120
ABC Insurance,Complete Care,3000000,790,No,30,5000,Yes,No,1,0,Yes,Yes,20658,89,5,20,120
LMN Health,Super Care,2500000,408,Yes (After 3 Years),50,No Limit,Yes,Yes,1,10,Yes,No,19615,96,4,30,60
ABC Insurance,Health Plan A,1000000,408,No,10,No Limit,Yes,No,2,5,No,Yes,23896,94,5,45,70
HIJ Assurance,Family Protect,2000000,465,No,50,5000,Yes,Yes,5,20,No,No,9755,96,5,60,90
XYZ Insurance,Secure Health,1500000,908,Yes (After 3 Years),50,5000,Yes,No,3,10,No,Yes,14371,86,5,45,90
HIJ Assurance,Wellness Shield,700000,313,No,50,15000,Yes,No,1,20,Yes,Yes,9755,93,5,0,120
LMN Health,Health Plan A,3000000,313,Yes (After 4 Years),20,8000,No,Yes,3,10,Yes,No,9787,89,3,60,60
PQR Insurance,Health Plan A,5000000,313,Yes (After 3 Years),10,10000,Yes,No,3,10,Yes,Yes,23230,95,4,30,120
OPQ Assurance,Super Care,2000000,908,Yes (After 3 Years),10,15000,No,No,5,0,No,No,9755,85,4,40,45
UVW Health,Care Plus,1000000,908,No,0,10000,Yes,Yes,1,0,No,No,9787,86,5,60,0
KLM Insurance,Wellness Shield,4000000,150,Yes (After 2 Years),0,15000,No,No,1,20,Yes,No,24500,99,5,20,70
LMN Health,Wellness Shield,2500000,408,Yes (After 2 Years),30,5000,Yes,Yes,5,20,No,Yes,9755,99,4,60,70
UVW Health,Super Care,2500000,465,Yes (After 4 Years),0,No Limit,Yes,No,3,5,No,No,19615,86,5,60,70
UVW Health,Health Guard,500000,378,No,50,8000,Yes,No,4,20,No,Yes,17780,86,4,45,120
KLM Insurance,Health Plan A,1500000,150,No,50,10000,No,Yes,5,0,Yes,Yes,24500,86,5,40,45
XYZ Insurance,Secure Health,4000000,408,Yes (After 2 Years),10,No Limit,No,No,5,5,No,No,21623,89,5,60,70
KLM Insurance,Super Care,2500000,908,No,10,8000,No,No,4,20,Yes,Yes,9787,96,4,40,60
OPQ Assurance,Family Protect,700000,790,No,10,No Limit,Yes,Yes,1,5,No,No,9787,99,3,0,120
PQR Insurance,Complete Care,5000000,863,Yes (After 3 Years),10,8000,No,Yes,2,5,Yes,No,23896,89,4,40,70
ABC Insurance,Prime Coverage,4000000,313,No,50,15000,Yes,No,5,10,Yes,Yes,17780,96,3,0,60
PQR Insurance,Health Plan A,3000000,408,No,50,No Limit,Yes,No,5,10,No,No,23230,96,5,0,70
PQR Insurance,Health Guard,2000000,465,Yes (After 4 Years),10,5000,No,Yes,2,0,Yes,Yes,23896,96,5,60,120
LMN Health,Secure Health,500000,138,Yes (After 3 Years),20,10000,No,Yes,5,20,No,No,23230,86,5,40,45
RST Care,Prime Coverage,700000,863,No,50,15000,Yes,No,1,5,Yes,No,23230,95,3,40,120
HIJ Assurance,Wellness Shield,2500000,408,No,50,5000,No,Yes,2,20,Yes,No,19615,95,5,20,60
XYZ Insurance,Secure Health,4000000,790,Yes (After 4 Years),50,15000,Yes,Yes,4,10,No,No,24500,96,5,60,70
KLM Insurance,Health Plan A,300000,313,No,20,No Limit,No,No,5,10,Yes,No,23896,89,5,45,70
ABC Insurance,Secure Health,300000,138,Yes (After 2 Years),10,15000,Yes,Yes,2,10,No,No,9787,85,3,60,0
OPQ Assurance,Prime Coverage,1000000,378,No,20,15000,Yes,No,2,20,Yes,No,19615,85,5,30,90
OPQ Assurance,Wellness Shield,500000,465,Yes (After 4 Years),30,No Limit,No,No,5,5,Yes,No,9787,96,5,40,90
EFG Insurance,Prime Coverage,300000,378,No,20,15000,No,No,2,5,Yes,Yes,23230,94,5,40,45
RST Care,Secure Health,700000,863,Yes (After 2 Years),20,10000,No,No,1,0,Yes,No,19615,86,4,0,70
RST Care,Health Guard,1000000,378,No,0,10000,No,No,2,5,Yes,Yes,14371,85,5,30,45
UVW Health,Health Plus,500000,378,No,30,10000,Yes,Yes,1,0,Yes,Yes,14371,86,4,0,70
KLM Insurance,Secure Health,5000000,790,No,50,15000,No,Yes,1,20,No,Yes,23896,96,3,60,60
EFG Insurance,Family Protect,1500000,150,Yes (After 3 Years),50,No Limit,No,No,3,10,Yes,Yes,23230,96,5,45,90
HIJ Assurance,Wellness Shield,1500000,408,No,30,5000,No,Yes,5,10,No,No,9787,96,3,20,70
LMN Health,Health Guard,300000,313,No,0,8000,No,Yes,2,0,No,Yes,9787,85,4,0,120
EFG Insurance,Care Plus,2500000,138,Yes (After 4 Years),50,5000,No,No,2,0,Yes,Yes,19615,85,4,45,60
OPQ Assurance,Health Plan A,2500000,790,Yes (After 3 Years),50,8000,No,No,5,10,No,Yes,20658,86,5,60,120
PQR Insurance,Care Plus,1000000,138,Yes (After 4 Years),30,15000,No,Yes,3,0,No,No,20658,95,5,40,120
KLM Insurance,Prime Coverage,1000000,465,Yes (After 3 Years),20,No Limit,Yes,Yes,2,20,No,No,14371,89,3,20,70
HIJ Assurance,Family Protect,500000,790,No,0,8000,Yes,Yes,4,0,Yes,No,23230,99,4,60,90
ABC Insurance,Health Plus,1500000,790,No,0,5000,No,No,1,20,Yes,Yes,17780,86,4,45,120
ABC Insurance,Prime Coverage,1500000,465,Yes (After 3 Years),50,5000,No,Yes,5,0,Yes,No,9787,99,5,30,60
PQR Insurance,Complete Care,2500000,863,Yes (After 3 Years),0,10000,No,Yes,2,10,Yes,No,9787,99,5,20,45
OPQ Assurance,Health Plus,500000,465,No,50,5000,Yes,Yes,2,20,Yes,Yes,23230,99,5,45,70
LMN Health,Prime Coverage,5000000,790,Yes (After 3 Years),10,15000,No,Yes,2,10,Yes,Yes,14371,99,5,45,70
RST Care,Prime Coverage,1500000,313,Yes (After 3 Years),0,15000,No,No,2,5,No,No,9755,96,5,40,45
LMN Health,Super Care,2000000,280,No,0,5000,No,Yes,1,0,No,No,14371,94,3,30,45
OPQ Assurance,Health Plus,5000000,313,No,50,5000,No,Yes,1,20,No,Yes,9755,85,4,20,45
PQR Insurance,Health Plan A,4000000,150,No,50,5000,No,No,1,10,No,No,24500,94,5,40,60
KLM Insurance,Wellness Shield,2500000,908,No,10,No Limit,Yes,Yes,2,0,No,Yes,9787,85,4,20,60
HIJ Assurance,Health Guard,4000000,138,Yes (After 3 Years),30,5000,No,Yes,3,0,Yes,No,24500,93,5,30,45
EFG Insurance,Super Care,5000000,378,No,50,No Limit,No,Yes,3,5,No,No,20658,99,4,20,0
LMN Health,Prime Coverage,300000,465,Yes (After 2 Years),50,8000,No,No,5,10,No,Yes,24500,85,3,40,0
EFG Insurance,Super Care,2500000,908,No,10,10000,No,Yes,3,10,No,No,14371,96,5,20,90
EFG Insurance,Complete Care,1000000,908,No,50,No Limit,No,Yes,3,0,No,No,24500,93,4,20,70
HIJ Assurance,Complete Care,1500000,790,Yes (After 2 Years),20,5000,No,No,3,5,No,Yes,19615,85,4,60,90
LMN Health,Wellness Shield,300000,313,Yes (After 3 Years),50,15000,Yes,No,1,0,No,No,21623,86,4,20,45
ABC Insurance,Health Plan A,300000,378,Yes (After 3 Years),20,5000,No,Yes,4,10,No,Yes,23230,96,4,40,90
RST Care,Care Plus,4000000,378,Yes (After 3 Years),30,10000,Yes,Yes,2,20,No,No,23896,95,5,20,45
XYZ Insurance,Prime Coverage,700000,908,Yes (After 4 Years),50,5000,Yes,No,3,20,No,No,23230,94,3,20,45
EFG Insurance,Wellness Shield,500000,908,Yes (After 2 Years),30,5000,No,No,5,20,No,No,9755,96,3,45,70
HIJ Assurance,Family Protect,3000000,138,Yes (After 3 Years),30,No Limit,Yes,Yes,2,5,No,Yes,23230,89,4,40,60
PQR Insurance,Family Protect,2000000,378,No,10,No Limit,No,Yes,5,0,No,No,14371,85,4,40,45
ABC Insurance,Complete Care,500000,150,Yes (After 2 Years),10,15000,Yes,Yes,3,20,Yes,Yes,19615,96,4,30,45
EFG Insurance,Complete Care,4000000,908,No,0,10000,Yes,No,1,5,No,Yes,24500,99,4,60,0
KLM Insurance,Complete Care,3000000,863,Yes (After 3 Years),50,5000,Yes,Yes,5,20,Yes,No,21623,93,5,0,90
HIJ Assurance,Wellness Shield,4000000,313,Yes (After 2 Years),30,15000,Yes,Yes,1,10,Yes,Yes,24500,93,4,0,0
OPQ Assurance,Care Plus,2500000,378,No,30,15000,No,Yes,5,5,Yes,No,23896,99,5,45,60
RST Care,Super Care,3000000,408,No,30,5000,Yes,Yes,5,0,No,Yes,20658,89,3,30,0
UVW Health,Secure Health,700000,280,Yes (After 2 Years),0,No Limit,No,No,4,0,Yes,No,17780,99,5,20,60
HIJ Assurance,Wellness Shield,1500000,408,Yes (After 4 Years),30,5000,No,Yes,1,5,No,Yes,9755,94,4,0,70
XYZ Insurance,Health Plus,5000000,908,No,50,5000,Yes,No,2,10,No,Yes,23896,95,3,30,90
RST Care,Prime Coverage,4000000,313,Yes (After 3 Years),0,5000,Yes,Yes,5,5,Yes,No,21623,99,5,0,60
PQR Insurance,Secure Health,2500000,465,Yes (After 3 Years),20,8000,No,No,2,0,Yes,Yes,24500,95,3,45,0
UVW Health,Secure Health,3000000,465,No,20,10000,Yes,Yes,5,20,Yes,Yes,9787,89,4,20,0
EFG Insurance,Care Plus,2500000,150,No,0,5000,No,Yes,2,20,Yes,Yes,23230,93,5,60,45
EFG Insurance,Wellness Shield,500000,408,Yes (After 2 Years),30,5000,Yes,No,5,10,Yes,Yes,23230,89,4,20,45
OPQ Assurance,Secure Health,1000000,465,Yes (After 4 Years),0,No Limit,Yes,No,3,10,Yes,Yes,23896,96,5,20,60
LMN Health,Health Guard,2500000,280,Yes (After 2 Years),20,15000,No,No,5,0,Yes,Yes,23230,93,5,45,90
OPQ Assurance,Family Protect,2000000,790,No,0,10000,No,Yes,1,20,Yes,Yes,23230,85,5,40,60
HIJ Assurance,Health Guard,3000000,790,No,30,10000,No,Yes,5,0,Yes,Yes,9787,96,5,30,60
XYZ Insurance,Super Care,1000000,408,No,10,No Limit,Yes,Yes,1,5,Yes,Yes,17780,99,4,60,45
LMN Health,Super Care,300000,465,No,50,No Limit,No,Yes,5,20,Yes,No,9787,99,5,40,90
RST Care,Super Care,500000,863,Yes (After 3 Years),30,10000,Yes,No,5,10,Yes,Yes,23896,85,5,0,45
LMN Health,Health Plus,3000000,465,Yes (After 2 Years),50,10000,No,No,4,10,Yes,No,24500,89,4,0,70
LMN Health,Complete Care,700000,465,Yes (After 2 Years),30,10000,No,No,2,20,Yes,Yes,17780,96,3,60,60
EFG Insurance,Family Protect,300000,408,Yes (After 4 Years),30,5000,No,No,5,5,No,Yes,23896,85,3,60,120
RST Care,Wellness Shield,2000000,908,No,50,8000,No,No,4,0,Yes,Yes,14371,94,4,30,45
XYZ Insurance,Secure Health,300000,150,No,50,10000,Yes,Yes,2,10,No,Yes,23896,94,5,45,70
LMN Health,Prime Coverage,5000000,150,Yes (After 3 Years),30,10000,No,Yes,5,20,No,No,21623,89,5,45,0
ABC Insurance,Family Protect,500000,863,No,30,10000,No,Yes,5,5,Yes,No,14371,99,5,40,45
PQR Insurance,Health Guard,3000000,378,Yes (After 2 Years),30,10000,Yes,No,3,20,No,No,19615,95,5,30,60
ABC Insurance,Health Guard,3000000,465,Yes (After 2 Years),0,15000,No,Yes,5,20,Yes,Yes,20658,96,5,40,0
PQR Insurance,Prime Coverage,5000000,138,Yes (After 2 Years),20,15000,Yes,No,5,10,Yes,Yes,21623,86,4,30,60
OPQ Assurance,Complete Care,2000000,138,No,30,8000,No,No,4,20,No,Yes,21623,93,4,60,60
OPQ Assurance,Super Care,3000000,138,No,10,10000,No,No,3,10,No,No,9755,96,3,30,0
KLM Insurance,Care Plus,4000000,138,Yes (After 3 Years),30,8000,Yes,No,1,5,Yes,Yes,20658,85,3,30,60
KLM Insurance,Wellness Shield,1000000,378,No,30,5000,No,No,5,20,No,Yes,9787,85,5,0,0
ABC Insurance,Family Protect,300000,378,No,10,8000,Yes,No,5,20,No,No,17780,89,5,0,120
UVW Health,Health Plus,2500000,908,Yes (After 3 Years),50,5000,Yes,No,4,20,Yes,Yes,9755,96,3,45,0
PQR Insurance,Secure Health,700000,138,Yes (After 3 Years),50,15000,Yes,Yes,3,10,No,Yes,9755,95,3,30,60
EFG Insurance,Health Plus,5000000,150,Yes (After 3 Years),20,8000,No,Yes,4,5,No,No,24500,89,5,30,90
EFG Insurance,Family Protect,4000000,378,Yes (After 3 Years),20,8000,Yes,No,4,20,No,Yes,14371,86,5,40,45
PQR Insurance,Health Plus,1500000,408,No,30,10000,Yes,No,1,5,Yes,No,14371,93,3,30,120
XYZ Insurance,Health Guard,300000,790,Yes (After 3 Years),10,10000,Yes,No,4,0,Yes,No,9787,96,3,30,120
UVW Health,Prime Coverage,300000,138,No,50,No Limit,Yes,No,2,10,Yes,Yes,9755,94,3,30,45
PQR Insurance,Care Plus,2500000,908,No,20,10000,No,No,5,10,No,No,19615,85,4,60,120
OPQ Assurance,Prime Coverage,2000000,150,Yes (After 3 Years),50,10000,Yes,No,2,10,No,Yes,9787,85,5,30,0
OPQ Assurance,Prime Coverage,3000000,863,Yes (After 4 Years),30,5000,No,Yes,5,10,No,No,9787,94,3,60,45
EFG Insurance,Secure Health,300000,138,Yes (After 2 Years),50,8000,Yes,Yes,1,20,Yes,No,17780,95,3,40,120
XYZ Insurance,Secure Health,3000000,908,No,20,5000,No,No,4,10,No,Yes,23230,85,4,60,45
UVW Health,Secure Health,1500000,863,No,0,10000,No,Yes,5,10,No,No,20658,99,4,30,45
UVW Health,Health Plan A,5000000,313,Yes (After 2 Years),50,10000,Yes,No,3,5,No,Yes,9755,95,4,0,70
KLM Insurance,Prime Coverage,4000000,378,No,20,5000,No,Yes,2,20,No,Yes,20658,85,3,45,0
HIJ Assurance,Super Care,500000,313,Yes (After 3 Years),30,10000,No,Yes,1,5,Yes,No,23230,85,4,30,0
XYZ Insurance,Family Protect,5000000,280,No,20,No Limit,Yes,No,3,5,Yes,No,14371,96,5,20,120
